# Without drogue (Up to date)
# 598 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.292,4.977,999.833
3.321,20.589,999.705
3.364,45.615,999.509
3.414,90.674,999.26
3.464,145.073,998.978
3.514,134.375,998.656
3.564,93.005,998.301
3.614,68.455,997.924
3.664,56.852,997.528
3.714,51.895,997.117
3.764,49.16,996.691
3.814,47.595,996.252
3.864,46.287,995.799
3.914,45.732,995.334
3.964,45.291,994.855
4.014,44.837,994.364
4.064,44.393,993.859
4.114,43.956,993.343
4.164,43.496,992.814
4.214,42.992,992.273
4.264,42.458,991.719
4.314,41.95,991.154
4.364,41.464,990.577
4.414,40.965,989.988
4.464,40.417,989.387
4.514,39.869,988.776
4.564,39.292,988.153
4.614,38.753,987.519
4.664,38.235,986.874
4.714,37.658,986.218
4.764,37.063,985.552
4.814,36.488,984.876
4.864,35.91,984.189
4.914,35.356,983.492
4.964,34.734,982.786
5.014,33.612,982.069
5.064,32.32,981.344
5.114,30.141,980.609
5.164,26.8,979.867
5.202,21.831,979.298
5.245,15.316,978.644
5.28,7.999,978.114
5.309,2.813,977.683
5.352,6.52,977.035
5.381,13.51,976.599
5.42,20.13,976.014
5.47,28.607,975.271
# Event BURNOUT occurred at t=5.485 seconds
5.485,35.797,975.046
5.508,36.951,974.709
5.542,36.335,974.208
5.592,35.544,973.49
5.635,34.932,972.886
5.685,34.232,972.187
5.725,33.627,971.635
5.775,32.887,970.953
5.825,32.268,970.281
5.875,31.619,969.619
5.925,30.979,968.965
5.975,30.403,968.32
6.025,29.825,967.684
6.075,29.299,967.057
6.125,28.696,966.438
6.175,28.143,965.827
6.224,27.665,965.231
6.274,27.294,964.637
6.324,26.838,964.05
6.357,26.486,963.675
6.405,25.933,963.12
6.451,25.52,962.602
6.487,25.254,962.196
6.537,24.952,961.641
6.584,24.559,961.13
6.634,24.09,960.589
6.684,23.676,960.055
6.734,23.336,959.528
6.784,23.042,959.007
6.834,22.746,958.494
6.884,22.395,957.986
6.934,22.014,957.486
6.984,21.7,956.992
7.034,21.411,956.504
7.084,21.09,956.022
7.134,20.789,955.546
7.184,20.552,955.076
7.234,20.343,954.613
7.284,20.097,954.176
7.334,19.755,953.746
7.384,19.437,953.32
7.434,19.166,952.901
7.484,18.973,952.486
7.534,18.815,952.077
7.584,18.638,951.673
7.634,18.393,951.274
7.684,18.129,950.88
7.734,17.826,950.491
7.784,17.639,950.107
7.834,17.471,949.728
7.884,17.309,949.354
7.934,17.141,948.985
7.984,16.917,948.62
8.034,16.743,948.26
8.084,16.544,947.905
