# Without drogue (Up to date)
# 318 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
11.864,0.914,1001.016
11.914,0.895,1001.106
11.964,0.851,1001.195
12.014,0.808,1001.285
12.064,0.766,1001.374
12.114,0.732,1001.464
12.164,0.696,1001.553
12.214,0.664,1001.642
12.264,0.638,1001.731
12.314,0.64,1001.82
12.364,0.604,1001.908
12.414,0.552,1001.997
12.464,0.518,1002.085
12.514,0.474,1002.174
12.564,0.431,1002.262
12.614,0.393,1002.35
12.664,0.388,1002.439
12.714,0.382,1002.527
12.764,0.371,1002.615
12.814,0.349,1002.703
12.864,0.323,1002.791
12.914,0.311,1002.879
12.964,0.31,1002.966
13.014,0.303,1003.054
13.064,0.282,1003.142
13.114,0.278,1003.229
13.164,0.272,1003.317
13.214,0.262,1003.405
13.264,0.257,1003.492
13.314,0.274,1003.58
13.364,0.274,1003.667
13.414,0.274,1003.755
13.464,0.274,1003.842
13.514,0.277,1003.93
13.564,0.287,1004.017
13.614,0.297,1004.104
13.664,0.296,1004.192
13.714,0.294,1004.279
13.764,0.296,1004.366
13.814,0.302,1004.454
13.864,0.288,1004.541
13.914,0.284,1004.628
13.964,0.26,1004.715
14.014,0.251,1004.802
14.064,0.245,1004.889
14.114,0.263,1004.976
14.164,0.202,1005.063
14.214,0.152,1005.15
14.264,0.094,1005.237
14.314,0.04,1005.324
14.364,0.051,1005.41
14.414,0.11,1005.497
14.464,0.219,1005.584
14.514,0.263,1005.671
14.564,0.249,1005.757
14.614,0.261,1005.844
14.664,0.251,1005.93
14.714,0.283,1006.017
14.764,0.252,1006.103
14.814,0.219,1006.189
14.864,0.217,1006.276
14.914,0.235,1006.362
14.964,0.218,1006.448
15.014,0.233,1006.534
15.064,0.231,1006.62
15.114,0.211,1006.707
15.164,0.199,1006.793
15.214,0.185,1006.879
15.264,0.173,1006.965
15.314,0.165,1007.051
15.364,0.149,1007.137
15.414,0.135,1007.223
15.464,0.118,1007.309
15.514,0.108,1007.395
15.564,0.108,1007.482
15.614,0.066,1007.568
15.664,0.036,1007.654
15.714,0.088,1007.74
15.764,0.114,1007.827
15.814,0.1,1007.913
15.864,0.139,1007.999
15.914,0.151,1008.085
15.964,0.185,1008.172
16.014,0.184,1008.258
16.064,0.171,1008.345
16.114,0.177,1008.431
16.164,0.186,1008.518
16.214,0.198,1008.604
16.264,0.2,1008.691
16.314,0.197,1008.777
16.364,0.194,1008.864
16.414,0.206,1008.951
16.464,0.207,1009.037
16.514,0.187,1009.124
16.564,0.173,1009.211
16.614,0.178,1009.297
16.664,0.176,1009.384
16.714,0.169,1009.471
16.764,0.16,1009.558
16.814,0.144,1009.645
16.864,0.132,1009.731
16.914,0.137,1009.818
16.964,0.134,1009.905
17.014,0.147,1009.992
17.064,0.125,1010.079
17.114,0.11,1010.165
17.164,0.102,1010.252
17.214,0.095,1010.339
17.264,0.09,1010.426
17.314,0.084,1010.512
17.364,0.075,1010.599
17.414,0.07,1010.686
17.464,0.065,1010.772
17.514,0.083,1010.859
17.564,0.074,1010.946
17.614,0.064,1011.032
17.664,0.079,1011.119
17.714,0.075,1011.206
17.764,0.074,1011.293
17.814,0.113,1011.379
17.864,0.13,1011.466
17.914,0.128,1011.553
17.964,0.111,1011.639
18.014,0.143,1011.726
18.064,0.142,1011.812
18.114,0.149,1011.899
18.164,0.102,1011.985
18.214,0.106,1012.072
18.264,0.09,1012.158
18.314,0.077,1012.245
18.364,0.083,1012.331
18.414,0.086,1012.417
18.464,0.093,1012.504
18.514,0.164,1012.59
18.564,0.191,1012.676
18.614,0.193,1012.762
18.664,0.219,1012.848
18.714,0.216,1012.935
18.764,0.208,1013.021
18.814,0.225,1013.107
18.864,0.225,1013.193
# Event GROUND_HIT occurred at t=18.914 seconds
# Event SIMULATION_END occurred at t=18.914 seconds
18.914,0.226,1013.25
