# Simulation 1 (Up to date)
# 663 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27,6 m/s)
#   Forward end of airframe is open (radius is > 0):  "Übergang"
#
# Time (s),Total acceleration (m/s²),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
63.016,0.248,959.022
63.516,0.082,959.424
64.016,0.035,959.827
64.516,0.199,960.229
65.016,0.529,960.631
65.516,0.017,961.033
66.016,0.419,961.435
66.516,0.086,961.837
67.016,0.009,962.239
67.516,0.036,962.641
68.016,0.106,963.043
68.516,0.224,963.445
69.016,0.264,963.846
69.516,0.1,964.248
70.016,0.109,964.649
70.516,0.599,965.051
71.016,0.171,965.452
71.516,0.271,965.853
72.016,0.188,966.255
72.516,0.198,966.656
73.016,0.3,967.057
73.516,0.074,967.458
74.016,0.08,967.859
74.516,0.155,968.26
75.016,0.038,968.661
75.516,0.341,969.062
76.016,0.266,969.462
76.516,0.127,969.863
77.016,0.278,970.263
77.516,0.059,970.664
78.016,0.182,971.064
78.516,0.439,971.465
79.016,0.058,971.865
79.516,0.186,972.265
80.016,0.588,972.665
80.516,0.233,973.065
81.016,0.466,973.465
81.516,0.161,973.865
82.016,0.204,974.265
82.516,0.167,974.665
83.016,0.168,975.065
83.516,0.171,975.464
84.016,0.116,975.864
84.516,0.019,976.264
85.016,0.575,976.663
85.516,0.135,977.062
86.016,0.032,977.462
86.516,0.838,977.861
87.016,0.051,978.26
87.516,0.231,978.659
88.016,0.133,979.058
88.516,0.184,979.457
89.016,0.441,979.856
89.516,0.07,980.255
90.016,0.069,980.654
90.516,0.024,981.052
91.016,0.236,981.451
91.516,0.301,981.85
92.016,0.27,982.248
92.516,0.119,982.647
93.016,0.267,983.045
93.516,0.225,983.444
94.016,0.258,983.842
94.516,0.662,984.24
95.016,0.152,984.638
95.516,0.016,985.036
96.016,0.108,985.434
96.516,0.004,985.832
97.016,0.037,986.23
97.516,0.332,986.628
98.016,0.334,987.026
98.516,0.48,987.424
99.016,0.052,987.821
99.516,0.336,988.219
100.016,0.213,988.616
100.516,0.125,989.014
101.016,0.427,989.411
101.516,0.012,989.809
102.016,0.26,990.206
102.516,0.139,990.603
103.016,0.379,991
103.516,0.015,991.397
104.016,0.098,991.794
104.516,0.293,992.191
105.016,0.258,992.588
105.516,0.059,992.985
106.016,0.098,993.382
106.516,0.22,993.779
107.016,0.1,994.175
107.516,0.445,994.572
108.016,0.129,994.968
# Event GROUND_HIT occurred at t=108.385 seconds
# Event SIMULATION_END occurred at t=108.385 seconds
108.385,0.101,995.365
